"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"13605","Class switched memory B cells","Non-classical monocytes","HLA-DMB","CD4",0.0767738554866676,15576.1,0.00859332859461561,6105,0.913055622241075,9282,0.942057914488857,8012,0.917257930513736,28479,0,26002.5
"13606","Small pre-B cell","Myelocytes","CIRBP","TREM1",0.0767780994239863,16809.5,0.00647849188956322,9225,0.601198252426827,18774,0.769001057096211,11622,0.941634906038853,18424,0,26002.5
"13607","Conventional dendritic cell 2","Plasmacytoid dendritic cells","LILRB4","LAIR1",0.0767860487400725,15880.7,0.00845379335076418,6272,1.27186049380955,4487,0.839976940363872,9916,0.907112352682752,32726,0,26002.5
"13608","Conventional dendritic cell 1","Early erythroid progenitor","GNAI2","S1PR4",0.0767977811151789,25935.1,0.00224405370862626,28622,0.586772251894368,19444,0.456765486030575,22880,0.907108822899841,32727,0,26002.5
"13609","Megakaryocyte progenitors","Early promyelocytes","TIMP1","CD63",0.0767977811151789,20195.7,0.00210635938746991,30138,0.655880186902228,16548,0.825991778561705,10208,0.942463929600865,18082,0,26002.5
"13610","Conventional dendritic cell 2","CD8+ naive T cells","VIM","CD44",0.0768095149243419,16542.5,0.00189205092841289,32728,0.738744797681877,13632,1.08050265208852,5956,0.971057600586014,4394,0,26002.5
"13611","Nonswitched memory B cells","CD69+PD-1+ memory CD4+ T cells","CD48","CD2",0.0768212501676929,22151.5,0.00352575601014728,19038,0.375464210513059,32729,0.608172431755886,16468,0.946353718086017,16520,0,26002.5
"13612","Mature naive B cells","Classical Monocytes","HLA-DQA2","CD4",0.0768548361625453,23134.9,0.00765869121726286,7236,0.601134709506432,18779,0.744151321191698,12203,0.856662072625091,51454,0,26002.5
"13613","Early promyelocytes","Mature naive B cells","HMGB1","CXCR4",0.0768664687792016,15146.7,0.00189131596704071,32744,0.912765052339689,9286,1.00658223165614,7039,0.981013221581609,662,0,26002.5
"13614","Plasmacytoid dendritic cell progenitors","Small pre-B cell","CALM1","MYLK",0.0768701900547178,13045.3,0.00754113541014515,7406,1.57937891132549,2295,0.80317062219633,10743,0.940790787971196,18780,0,26002.5
"13615","Class switched memory B cells","CD8+ central memory T cells","HLA-A","CD3D",0.0768701900547178,15587.9,0.00386020765195736,17241,0.601132058138358,18780,0.67442605325201,14226,0.977357231641475,1690,0,26002.5
"13616","NK resident","Pre-B cells","HMGB1","CXCR4",0.0768771791878186,24271.3,0.00120683052272954,45013,0.521386372787294,22896,0.409047295208652,25406,0.976344166280699,2039,0,26002.5
