"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"1","Megakaryocyte progenitors","Late erythroid progenitor","PF4","ACKR1",2.8468966208204e-10,8932.4,0.257187414827874,4,5.39554579479477,17,3.6160473988083,15,0.952410750897536,15679,0,28947
"2","Megakaryocyte progenitors","Late erythroid progenitor","PPBP","ACKR1",1.89833213548374e-09,8618.4,0.243384929072619,7,5.21352893618936,32,4.03486762400969,1,0.955248123651776,14105,0,28947
"3","Megakaryocyte progenitors","Aberrant erythroid","PPBP","ACKR1",3.70721247375975e-09,8953.4,0.212486892781701,12,5.07472565152819,40,3.80445931407535,5,0.952254875632712,15763,0,28947
"4","Megakaryocyte progenitors","Aberrant erythroid","PF4","ACKR1",6.40525540638205e-09,9315.4,0.224537134848755,9,5.25674251013361,25,3.38563908887396,48,0.949237808921501,17548,0,28947
"5","Myelocytes","Non-classical monocytes","S100A8","CD68",7.46164755532273e-09,5955.4,0.049732760014876,396,3.02648243844701,310,3.72859179392229,8,0.984960994086997,116,0,28947
"6","Classical Monocytes","Non-classical monocytes","S100A8","CD68",1.21086933479664e-08,5990.2,0.046392609440487,447,2.90871094805729,369,3.73614998395614,7,0.984437296706516,181,0,28947
"7","Myelocytes","Non-classical monocytes","S100A9","CD68",1.33440849995461e-08,5979.2,0.0456132703519595,458,2.93388089508632,355,3.52509064947145,22,0.984972801097146,114,0,28947
"8","Classical Monocytes","Non-classical monocytes","S100A9","CD68",1.3935820122833e-08,5979.4,0.0452834365574178,463,2.92181122863353,364,3.91717179977219,2,0.984918996962195,121,0,28947
"9","Megakaryocyte progenitors","Classical Monocytes","PF4","LRP1",1.74143420219146e-08,7336.6,0.112517970042596,67,5.2518532593085,27,3.81170955121187,4,0.96699220935755,7638,0,28947
"10","Megakaryocyte progenitors","Megakaryocyte progenitors","CXCL12","ITGB3",2.4423712375765e-08,9896.4,0.128510478969424,45,4.73067539014109,75,3.59145053782671,17,0.944210532855698,20398,0,28947
"11","Megakaryocyte progenitors","Plasmacytoid dendritic cells","PF4","CXCR3",5.12032804606181e-08,8272.4,0.0953509096874565,96,5.21827076478423,31,3.61645096611839,14,0.958610085565023,12274,0,28947
"12","Myelocytes","Classical Monocytes","S100A8","CD68",6.43421419860931e-08,6162.8,0.0357005620609984,679,2.56648252760789,628,3.45019909214938,34,0.982297808793446,526,0,28947
"13","Megakaryocyte progenitors","NK T cells","CXCL12","ITGB3",7.08859374739847e-08,10288.4,0.114199484213599,61,4.42076988167377,107,3.27424988695637,70,0.941018126709189,22257,0,28947
"14","Non-classical monocytes","Classical Monocytes","SERPINA1","LRP1",7.10216846241185e-08,8046.4,0.0735980079646234,168,2.56319764167074,634,2.22628426600713,569,0.962964752693795,9914,0,28947
"15","Myelocytes","Classical Monocytes","S100A9","CD36",1.15428661095524e-07,6244.2,0.039818370740927,574,2.42335161048286,786,3.01790436354564,129,0.981034425989415,785,0,28947
"16","Classical Monocytes","Classical Monocytes","S100A8","CD68",1.16016224815934e-07,6233.2,0.0333028416682757,787,2.44871103721817,764,3.45775728218323,33,0.981683096989201,635,0,28947
"17","Myelocytes","Classical Monocytes","S100A8","CD36",1.17792365338902e-07,6200.2,0.0434145033005031,493,2.51595315384355,686,3.22140550799647,85,0.981019584190663,790,0,28947
"18","Classical Monocytes","Classical Monocytes","S100A9","CD36",1.25725448063879e-07,6235.8,0.0395304404037114,582,2.41128194403007,803,3.40998551384638,44,0.980966793184032,803,0,28947
"19","Myelocytes","Classical Monocytes","S100A9","CD68",1.36030978180588e-07,6220.4,0.0327433946661745,819,2.4738809842472,736,3.24669794769854,78,0.982311669102012,522,0,28947
"20","Classical Monocytes","Classical Monocytes","S100A9","CD68",1.46255190267786e-07,6216.4,0.0325066241380895,834,2.46181131779441,755,3.63877909799928,13,0.982248508634429,533,0,28947
"21","Megakaryocyte progenitors","CD56dimCD16+ NK cells","CLEC1B","KLRB1",1.69110386060751e-07,7521.6,0.087760439756678,114,4.78766440493988,71,2.9877485004724,143,0.965732313052562,8333,0,28947
"22","Non-classical monocytes","CD56brightCD16- NK cells","B2M","KLRC1",1.82822652404265e-07,7046.8,0.0153287705247296,3099,2.88093960101718,379,1.54289400726594,2571,0.98399868854008,238,0,28947
"23","Non-classical monocytes","Non-classical monocytes","S100A9","CD68",2.47674205085201e-07,7447.2,0.0208365661528074,1816,2.02722257070528,1446,1.4465828248836,3293,0.97792543920237,1734,0,28947
"24","Classical Monocytes","Classical Monocytes","S100A8","CD36",2.56488946390061e-07,6274,0.0404986993496945,562,2.39818166345383,819,3.22896369803033,82,0.980361373205409,960,0,28947
"25","Myelocytes","Plasmacytoid dendritic cells","S100A8","CD68",2.57557139238075e-07,6342.2,0.0297373489556015,961,2.37099800652192,847,3.26001468827699,75,0.980636742727991,881,0,28947
"26","Plasmacytoid dendritic cells","Early erythroid progenitor","SCT","RAMP2",2.70323038445387e-07,16632.4,0.249732080060783,5,6.76811311748392,7,1.28048835598482,5065,0.894860685830965,49138,0,28947
"27","Aberrant erythroid","NK T cells","SNCA","LAG3",2.76231311531294e-07,9886.4,0.0463216226755473,448,3.06881432841598,294,1.94591377123447,978,0.947087640400706,18765,0,28947
"28","Myelocytes","Myelocytes","S100A8","CD68",3.17853097698031e-07,6370,0.0289859961469337,1013,2.34636735164291,879,3.32416124615653,59,0.980392277782501,952,0,28947
"29","Non-classical monocytes","Classical Monocytes","C1QA","CD93",3.58489576339915e-07,11294.8,0.128993185278989,43,2.2702712077985,976,1.91452152844554,1044,0.935664399221682,25464,0,28947
"30","Myelocytes","Late erythroid progenitor","S100A9","CD36",4.16528151311004e-07,6348.8,0.0355961521322896,686,2.30627517883072,925,3.13697796689759,102,0.979963047921673,1084,0,28947
"31","Megakaryocyte progenitors","CD56brightCD16- NK cells","PF4","CXCR3",4.21908152026102e-07,9094,0.0682334345196444,194,4.95405003051014,54,3.51212162924518,24,0.951437971551479,16251,0,28947
"32","Megakaryocyte progenitors","Myelocytes","PF4","LRP1",4.28459432278014e-07,8375.4,0.0678600035193937,195,4.85372276952983,63,3.58644352214774,18,0.957896697524192,12654,0,28947
"33","Myelocytes","Late erythroid progenitor","S100A8","CD36",4.2893187003217e-07,6302.6,0.0388109617615288,603,2.3988767221914,817,3.34047911134843,54,0.979947384837302,1092,0,28947
"34","Classical Monocytes","Plasmacytoid dendritic cells","S100A8","CD68",4.48053476022147e-07,6442.2,0.0277401297551158,1104,2.2532265161322,1003,3.26757287831084,74,0.979965526533251,1083,0,28947
"35","Lymphomyeloid prog","Megakaryocyte progenitors","F12","GP1BB",4.55341978451093e-07,11640.6,0.105958295180655,79,4.29143321329108,127,2.7995929083154,199,0.929901930206025,28851,0,28947
"36","Classical Monocytes","Late erythroid progenitor","S100A9","CD36",4.62808213665898e-07,6344.6,0.0353387530499988,700,2.29420551237793,942,3.52905911719833,21,0.979891672805054,1113,0,28947
"37","Megakaryocyte progenitors","Megakaryocyte progenitors","PF4","LRP1",4.69194515015733e-07,8399.4,0.0671553543976807,201,4.84744074816184,65,3.64717006245155,12,0.957685705200913,12772,0,28947
"38","Myelocytes","Plasmacytoid dendritic cells","S100A9","CD68",5.07480660634662e-07,6409.4,0.0272741295085308,1139,2.27839646316123,967,3.05651354382616,118,0.98065187798669,876,0,28947
"39","Classical Monocytes","Plasmacytoid dendritic cells","S100A9","CD68",5.34678297412934e-07,6404.6,0.0270769077447939,1154,2.26632679670844,984,3.44859469412689,35,0.980582907984333,903,0,28947
"40","Megakaryocyte progenitors","Non-classical monocytes","PF4","LRP1",5.42679708736683e-07,8442.2,0.0660356420509013,211,4.83745839428993,66,3.53976810601831,20,0.957343707124013,12967,0,28947
"41","Classical Monocytes","Myelocytes","S100A8","CD68",5.72621951146061e-07,6476.8,0.0270392392878642,1155,2.22859586125319,1050,3.33171943619038,58,0.979712762664296,1174,0,28947
"42","Non-classical monocytes","Non-classical monocytes","SERPINA1","LRP1",5.92332485507748e-07,9478.6,0.0431939156720599,500,2.14880277665217,1184,1.95434282081357,962,0.952197182787242,15800,0,28947
"43","Myelocytes","Myelocytes","S100A9","CD68",6.14596114458238e-07,6438.4,0.02658501314376,1195,2.25376580828222,1001,3.12066010170569,104,0.980407600309078,945,0,28947
"44","Classical Monocytes","Myelocytes","S100A9","CD68",6.37480440087809e-07,6433.8,0.0263927744444629,1206,2.24169614182943,1027,3.51274125200643,23,0.980337776992362,966,0,28947
"45","Aberrant erythroid","Megakaryocyte progenitors","TGM2","ITGB3",6.5788170846482e-07,21473.4,0.158393397217272,26,3.48522093782645,225,1.04819584498193,8819,0.852901464018952,69350,0,28947
"46","Myelocytes","Myelocytes","S100A9","CD36",6.98610356250892e-07,6419.4,0.0340074512458983,764,2.26222264437387,988,2.90799279516835,164,0.979509844699648,1234,0,28947
"47","Myelocytes","Myelocytes","S100A8","CD36",7.21471234737113e-07,6362.8,0.0370787798918961,646,2.35482418773456,871,3.11149393961919,106,0.979493834755149,1244,0,28947
"48","Classical Monocytes","Myelocytes","S100A9","CD36",7.47260160289054e-07,6409.2,0.0337615402072778,770,2.25015297792108,1010,3.30007394546909,64,0.979436889069761,1255,0,28947
"49","Megakaryocyte progenitors","CD56brightCD16- NK cells","CLEC1B","KLRB1",7.590333567827e-07,7675.2,0.0824041191834959,131,4.68791644111314,78,2.72911921109262,236,0.964674857540288,8984,0,28947
"50","Megakaryocyte progenitors","Megakaryocyte progenitors","IGFBP7","MPIG6B",7.68710894086719e-07,9410.8,0.0673289747796733,199,4.72249706283422,76,2.72157738070467,237,0.94914213485441,17595,0,28947
"51","Megakaryocyte progenitors","NK T cells","CXCL12","ITGAV",8.91320248087318e-07,9947.2,0.0860871182595938,119,3.24776735205085,249,3.50626411938851,25,0.944212120505022,20396,0,28947
"52","Megakaryocyte progenitors","GammaDelta T cells","CLEC1B","KLRB1",8.91320248087318e-07,7876,0.0745922903130415,163,4.54244082722025,88,2.68914818882274,249,0.962938006098661,9933,0,28947
"53","Classical Monocytes","Late erythroid progenitor","S100A8","CD36",8.92117298662416e-07,6387.8,0.0362043407700217,666,2.28110523180169,962,3.34803730138228,52,0.979252778016255,1312,0,28947
"54","Aberrant erythroid","CD8+ central memory T cells","SNCA","LAG3",9.08502482268354e-07,9357.6,0.0566833704329844,302,3.1761092076865,260,1.81758833285759,1318,0.951923477393017,15961,0,28947
"55","Aberrant erythroid","NK T cells","TGM2","ITGB3",1.03812697192811e-06,23772.6,0.140754624915497,33,3.17531542935913,262,0.730995194111594,17394,0.845339968668844,72227,0,28947
"56","Megakaryocyte progenitors","Megakaryocyte progenitors","COL1A2","ITGA2B",1.18717845783713e-06,9216.4,0.16384460388189,24,5.94849800927951,14,2.63835222743148,274,0.950445525918599,16823,0,28947
"57","Megakaryocyte progenitors","CD8+ central memory T cells","PF4","CXCR3",1.18717845783713e-06,9504.2,0.0592305694827553,274,4.86633007885915,61,3.48701763198626,28,0.948062734867099,18211,0,28947
"58","Aberrant erythroid","CD8+ effector memory T cells","SNCA","LAG3",1.29319481208138e-06,9713.4,0.0506649059409665,380,3.11378859960168,279,1.77464714860648,1440,0.949288834208527,17521,0,28947
"59","Classical Monocytes","Myelocytes","S100A8","CD36",1.29677973192038e-06,6452.8,0.0345884956624161,737,2.23705269734484,1034,3.11905212965304,105,0.9787838574553,1441,0,28947
"60","Megakaryocyte progenitors","NK T cells","APOE","LRP8",1.34983327335027e-06,11967.4,0.0803951137733083,139,3.08627129989958,286,3.17637702224287,91,0.927262715870062,30374,0,28947
"61","Non-classical monocytes","Conventional dendritic cell 2","SERPINA1","LRP1",1.35886895142335e-06,10294.8,0.033857519066821,767,2.02155165618593,1458,1.88743284828157,1112,0.946339198929449,19190,0,28947
"62","Megakaryocyte progenitors","CD8+CD103+ tissue resident memory T cells","CLEC1B","KLRB1",1.40717656006751e-06,8427.2,0.0581131630394896,285,4.23555863659699,137,2.60688989938702,290,0.95821659264865,12477,0,28947
"63","Non-classical monocytes","Myelocytes","SERPINA1","LRP1",1.68578644611197e-06,9375.8,0.0443872305695614,470,2.16506715189207,1154,2.00101823694299,867,0.952813603534565,15441,0,28947
"64","Eosinophil-basophil-mast cell progenitors","Non-classical monocytes","HDC","HRH2",1.7870290619823e-06,10548.8,0.175844669434628,18,8.46912744827015,1,2.28149809242508,514,0.939332951770527,23264,0,28947
"65","NK T cells","CD56dimCD16+ NK cells","CLEC1B","KLRB1",2.05340584924686e-06,8591,0.0545842268112511,329,3.53949014169716,218,2.59503105775935,297,0.956944314492217,13164,0,28947
"66","Non-classical monocytes","Conventional dendritic cell 2","TNFSF13B","HLA-DPB1",2.14693229364281e-06,8318.6,0.0114607860140139,5072,1.73545748150295,2552,2.09046992597552,711,0.97235674742161,4311,0,28947
"67","Early erythroid progenitor","Megakaryocyte progenitors","CXCL12","ITGB3",2.20659140779131e-06,12146.4,0.0705987489342686,182,3.82768696693014,183,2.53300143335569,337,0.92616811338707,31083,0,28947
"68","Non-classical monocytes","CD8+ central memory T cells","HLA-E","CD8B",2.29030132260025e-06,9273.6,0.0118395631492988,4808,1.75228529153531,2471,1.28476777278424,5004,0.970986585524656,5138,0,28947
"69","Non-classical monocytes","Late erythroid progenitor","TNFSF13B","TFRC",2.30695372858664e-06,9573.6,0.032520969862501,833,1.96791372901134,1628,1.71789770486307,1665,0.953985348479002,14795,0,28947
"70","Conventional dendritic cell 2","Non-classical monocytes","S100A8","CD68",2.36937889812617e-06,8263.2,0.0153731337589073,3086,1.81498484177377,2192,1.44610465411125,3297,0.973271524240612,3794,0,28947
"71","Conventional dendritic cell 2","Non-classical monocytes","S100A9","CD68",2.37855363602159e-06,7328.8,0.0190754662994739,2119,1.96277833190512,1642,1.67208714469245,1874,0.976951906582087,2062,0,28947
"72","Megakaryocyte progenitors","Megakaryocyte progenitors","TNC","ITGA2B_ITGB3",2.43219179254803e-06,10285.8,0.174796331226829,21,5.62820045671491,15,2.32989482730217,470,0.941482966657909,21976,0,28947
"73","Non-classical monocytes","CD56dimCD16+ NK cells","SECTM1","CD7",2.52406097588819e-06,10720.4,0.054850486020226,324,2.07706259053487,1325,1.70839122603051,1703,0.942631846334067,21303,0,28947
"74","Myelocytes","Conventional dendritic cell 2","S100A8","CD68",2.55968948407221e-06,6688.4,0.0229341029400979,1532,2.14797574223841,1186,3.28079667442987,68,0.978010071002614,1709,0,28947
"75","Megakaryocyte progenitors","Conventional dendritic cell 2","PF4","LRP1",2.77940045619345e-06,9055.8,0.0517619895080361,364,4.71020727382369,77,3.47285813348631,30,0.952084666455564,15861,0,28947
"76","Late promyelocytes","Non-classical monocytes","S100A8","CD68",2.78142550056392e-06,6864.2,0.0226675399830972,1566,2.07218075956199,1337,2.08503137200921,726,0.977884002851619,1745,0,28947
"77","Megakaryocyte progenitors","CD8+CD103+ tissue resident memory T cells","PF4","CXCR3",2.8023263160808e-06,9917.8,0.0517150892063709,365,4.79310254920308,70,3.42679653170105,37,0.944618735082932,20170,0,28947
"78","Eosinophil-basophil-mast cell progenitors","Classical Monocytes","HDC","HRH2",2.9174045117412e-06,10629.6,0.171747072791776,23,8.45246361131218,2,2.29984151749432,494,0.93865764292172,23682,0,28947
"79","Megakaryocyte progenitors","NK T cells","SPARC","FGFR1",2.94252844257236e-06,11812.4,0.10836716866543,76,4.49982786382937,92,2.47140060682235,371,0.928678591375162,29576,0,28947
"80","Conventional dendritic cell 2","Non-classical monocytes","LYZ","ITGAL",2.9806803369273e-06,8524.2,0.0133413047335574,3946,1.62391527316981,3197,1.88612348324393,1115,0.970572421840646,5416,0,28947
"81","Aberrant erythroid","GammaDelta T cells","SNCA","LAG3",3.01048213138773e-06,10385.4,0.041561312763602,536,3.01952178730719,314,1.69179819362028,1780,0.944303753275322,20350,0,28947
"82","Myelocytes","Conventional dendritic cell 2","S100A9","CD68",3.01048213138773e-06,6782,0.0210344134806403,1780,2.05537419887772,1373,3.07729552997904,111,0.978027213391161,1699,0,28947
"83","Classical Monocytes","Conventional dendritic cell 2","S100A9","CD68",3.18955931436651e-06,6783.2,0.020882311683055,1806,2.04330453242493,1405,3.46937668027977,31,0.977949097661696,1727,0,28947
"84","Non-classical monocytes","CD56dimCD16+ NK cells","B2M","KLRD1",3.21072306738962e-06,8959.4,0.00622982419224294,12414,1.91609099903289,1809,1.73074266129327,1613,0.986534832036615,14,0,28947
"85","Myelocytes","Classical Monocytes","S100A8","ITGB2",3.23910459736324e-06,6372.6,0.0208534397908108,1813,2.36169365984825,858,3.41028803071218,43,0.984247784016659,202,0,28947
"86","Myelocytes","CD69+PD-1+ memory CD4+ T cells","S100A8","CD69",3.28202824616337e-06,6353.8,0.0208269148170402,1819,2.37597638181026,841,3.65503703727706,10,0.984646863608323,152,0,28947
"87","Conventional dendritic cell 2","Conventional dendritic cell 2","TNFSF13B","HLA-DPB1",3.34391116572841e-06,8565.4,0.010855826025728,5542,1.68913381400297,2808,2.05994155451965,769,0.971618518740995,4761,0,28947
"88","Conventional dendritic cell 2","Classical Monocytes","HLA-DRA","CD4",3.38941001333563e-06,8666.4,0.0118122403809314,4832,1.62936271730601,3165,1.94253691804339,983,0.970584577114678,5405,0,28947
"89","Megakaryocyte progenitors","Small pre-B cell","APOE","ABCA1",3.39097212680871e-06,9613.4,0.0505448800689658,382,2.87099977852557,389,2.78524373394554,211,0.948199975940396,18138,0,28947
"90","Megakaryocyte progenitors","CD69+PD-1+ memory CD4+ T cells","MYL9","CD69",3.4964362561074e-06,6771,0.0499878482624022,393,4.05706378313632,158,3.00586455260797,135,0.972510173686051,4222,0,28947
"91","Conventional dendritic cell 2","Classical Monocytes","S100A9","CD68",3.63405692661171e-06,8898.8,0.0136932852361934,3765,1.502778421066,4043,1.39369444291954,3763,0.972909439415831,3976,0,28947
"92","CD8+ central memory T cells","Megakaryocyte progenitors","IL32","ITGB3",3.76959305286287e-06,8129.4,0.0672032868533522,200,4.11682482649728,154,2.42342616238222,403,0.961082598834465,10943,0,28947
"93","Myelocytes","Non-classical monocytes","S100A8","ITGB2",3.92053943410811e-06,6406.8,0.0202757476166135,1902,2.33306856649355,892,3.30734929851645,63,0.984028514612953,230,0,28947
"94","Non-classical monocytes","Classical Monocytes","C1QA","CD33",4.00330091449042e-06,13322.8,0.0628159702643552,244,1.94593027989688,1697,1.66410489149366,1912,0.921540832007275,33814,0,28947
"95","Non-classical monocytes","CD56brightCD16- NK cells","HLA-E","KLRC1_KLRD1",4.05188878883209e-06,7674.2,0.0105936591407461,5759,2.48904119795633,716,1.74439052150205,1560,0.978956942259024,1389,0,28947
"96","Megakaryocyte progenitors","Megakaryocyte progenitors","TLN1","ITGB3",4.08606104114347e-06,9776.2,0.0566557019798288,303,3.92151618486038,170,2.40744384893437,414,0.946612151826856,19047,0,28947
"97","HSCs & MPPs","Megakaryocyte progenitors","CXCL12","ITGB3",4.14543481285465e-06,13055.2,0.0575455816828178,293,3.6241555078088,206,2.40565378640069,416,0.918866695934252,35414,0,28947
"98","Aberrant erythroid","CD8+CD103+ tissue resident memory T cells","SNCA","LAG3",4.2072571966694e-06,10749.4,0.0376397445009453,635,2.97891433351245,336,1.6579276122006,1936,0.94163935157387,21893,0,28947
"99","Megakaryocyte progenitors","Plasmacytoid dendritic cells","CXCL12","CD4",4.23556717693009e-06,8926.6,0.0490258208584037,407,2.83029804803732,419,3.33915957649528,56,0.953964416517756,14804,0,28947
"100","Megakaryocyte progenitors","Plasmacytoid dendritic cells","CXCL12","CXCR3",4.2963738416745e-06,10485.4,0.049822558212104,395,2.82678604820128,421,3.13411768250904,103,0.940471973763166,22561,0,28947
"101","Classical Monocytes","Conventional dendritic cell 2","S100A8","CD68",4.37415530719394e-06,6827.6,0.0213938032043593,1731,2.03020425184869,1440,3.28835486446372,65,0.977249915084898,1955,0,28947
"102","Non-classical monocytes","Early erythroid progenitor","SERPINA1","LRP1",4.40991331570799e-06,11946.4,0.0229482024655962,1530,1.87286230420961,1959,1.69479305516986,1767,0.935562822797105,25529,0,28947
"103","Classical Monocytes","Megakaryocyte progenitors","VCAN","SELP",4.45092473193775e-06,9550.6,0.184411407792756,13,3.70011438689539,196,2.39603162370161,426,0.948157921219279,18171,0,28947
"104","Non-classical monocytes","CD8+ central memory T cells","HLA-E","CD8A",4.65869350824089e-06,9564.6,0.0103993119779338,5922,1.69211381584432,2788,1.28204548436751,5038,0.971006052779852,5128,0,28947
"105","Megakaryocyte progenitors","NK cell progenitors","CLEC1B","KLRB1",4.67344447276352e-06,8683.2,0.0529004318672495,349,4.13848466327835,150,2.38559526283446,433,0.956294174778435,13537,0,28947
"106","Non-classical monocytes","Classical Monocytes","PSAP","LRP1",5.02218918862037e-06,8416.2,0.0213913792154128,1733,1.85339338210576,2024,1.72871578204881,1623,0.966795153962568,7754,0,28947
"107","Non-classical monocytes","CD56brightCD16- NK cells","SECTM1","CD7",5.11172089778232e-06,9511.6,0.0747711830168846,162,2.59154026318231,610,1.92419376100759,1023,0.950456777594011,16816,0,28947
"108","Non-classical monocytes","CD56dimCD16+ NK cells","HLA-B","KLRD1",5.15189355696025e-06,8975.8,0.00646344400696819,11796,1.85027996722908,2037,1.69240431997025,1778,0.983542122150518,321,0,28947
"109","Classical Monocytes","Classical Monocytes","S100A8","ITGB2",5.25335804389355e-06,6468.6,0.0194528815094198,2047,2.24392216945854,1024,3.41784622074603,39,0.983699661816485,286,0,28947
"110","Classical Monocytes","CD69+PD-1+ memory CD4+ T cells","S100A8","CD69",5.31494953913879e-06,6444.2,0.0194281380053756,2053,2.25820489142054,995,3.66259522731091,9,0.984112403831357,217,0,28947
"111","CD8+ effector memory T cells","Megakaryocyte progenitors","IL32","ITGB3",5.34971554918095e-06,8227.8,0.0645328989274727,222,4.05569431248569,159,2.3545221604751,453,0.960317183657704,11358,0,28947
"112","Non-classical monocytes","Classical Monocytes","PTPN6","CLEC12A",5.58810727806316e-06,8687,0.0262095465548219,1223,1.84141205875859,2079,1.67511559108557,1859,0.964073738621212,9327,0,28947
"113","NK T cells","CD56brightCD16- NK cells","CLEC1B","KLRB1",5.82243394483107e-06,8785.2,0.051252764276982,373,3.43974217787042,229,2.33640176837957,466,0.95562813296883,13911,0,28947
"114","Non-classical monocytes","Conventional dendritic cell 2","C1QA","CD33",5.8494456114517e-06,13170.8,0.0652664822737761,216,1.97696203757117,1592,1.62530380225105,2103,0.922913218249563,32996,0,28947
"115","Conventional dendritic cell 2","Late erythroid progenitor","S100A9","CD36",5.85977002330073e-06,9844.6,0.0148863081982734,3272,1.33517261564952,5791,1.28397446211859,5013,0.969351360016695,6200,0,28947
"116","Myelocytes","Classical Monocytes","S100A9","ITGB2",5.94976526318737e-06,6465.2,0.0191260968959302,2112,2.26909211648757,979,3.20678688626135,87,0.984260142014779,201,0,28947
"117","Non-classical monocytes","CD8+ effector memory T cells","HLA-E","CD8A",6.0901393307951e-06,9700.2,0.010040979546132,6248,1.6431948861305,3080,1.30133395365468,4777,0.970508358276054,5449,0,28947
"118","Classical Monocytes","Classical Monocytes","S100A9","ITGB2",6.15425804580459e-06,6459.8,0.0189877943128161,2130,2.25702245003478,997,3.59886803656208,16,0.984203827160665,209,0,28947
"119","Conventional dendritic cell 2","Non-classical monocytes","GRN","TNFRSF1B",6.18823878189798e-06,7970.2,0.021599749584679,1701,1.96082226962953,1647,1.82721772656817,1288,0.969247934416919,6268,0,28947
"120","Classical Monocytes","Non-classical monocytes","S100A8","ITGB2",6.32864487739957e-06,6512.4,0.018913988284786,2145,2.21529707610383,1078,3.3149074885503,62,0.983472890718799,330,0,28947
"121","Non-classical monocytes","Myelocytes","C1QA","CD33",6.36396083357766e-06,14198,0.0533422555481163,343,1.82596105786512,2148,1.62467980057193,2109,0.915423355234415,37443,0,28947
"122","Non-classical monocytes","Myelocytes","C1QA","CD93",6.37576549651241e-06,13772.4,0.0771849236573709,147,1.82477207955097,2149,1.66705122360832,1900,0.918367187799189,35719,0,28947
"123","Conventional dendritic cell 2","Non-classical monocytes","HLA-DRA","CD4",6.76122701160685e-06,9197.4,0.0106623720043856,5691,1.54628421499463,3702,1.83283917907224,1267,0.969086824312391,6380,0,28947
"124","Aberrant erythroid","CD56dimCD16+ NK cells","SNCA","LAG3",6.84905984398346e-06,11326.2,0.0326611734834079,825,2.92736172011449,359,1.60831734059799,2188,0.937616708154251,24312,0,28947
"125","Non-classical monocytes","Mature naive B cells","TNFSF13B","HLA-DPB1",6.99216606489539e-06,9271.2,0.00984571720425671,6423,1.55160076969635,3655,1.71077975440653,1695,0.970240446693825,5636,0,28947
"126","NK T cells","GammaDelta T cells","CLEC1B","KLRB1",7.1025628245826e-06,9044,0.0463940529936545,446,3.29426656397753,244,2.29643074610969,498,0.953467931698808,15085,0,28947
"127","Myelocytes","Non-classical monocytes","S100A9","ITGB2",7.15307759922883e-06,6504.4,0.0185962564182654,2212,2.24046702313286,1030,3.10384815406562,107,0.984041041844043,226,0,28947
"128","Non-classical monocytes","CD56brightCD16- NK cells","CLEC2B","KLRF1",7.28268412964536e-06,8812.4,0.0185502508313083,2222,2.22534655750305,1056,1.70068314883901,1740,0.962662760114082,10097,0,28947
"129","Conventional dendritic cell 2","CD56dimCD16+ NK cells","LYZ","ITGAL",7.28544903809281e-06,8974.6,0.0119118314160055,4768,1.54184020673367,3736,1.95952009435218,946,0.968910057294954,6476,0,28947
"130","Classical Monocytes","Non-classical monocytes","S100A9","ITGB2",7.49369603006911e-06,6501.8,0.0184617851608577,2238,2.22839735668007,1052,3.49592930436635,27,0.983983955838214,245,0,28947
"131","NK T cells","Plasmacytoid dendritic cells","SPON1","APP",7.58236779220443e-06,11265.9,0.0657743602184591,213,2.71009812583159,509,2.28987514030327,504,0.934475150038105,26156.5,0,28947
"132","Late promyelocytes","Classical Monocytes","RETN","TLR4",7.71686273549963e-06,9340.6,0.121351083409828,49,2.85867187136568,395,2.28310897833283,512,0.950476450862043,16800,0,28947
"133","Megakaryocyte progenitors","Classical Monocytes","CXCL12","CD4",7.80740144822455e-06,9337.2,0.0425914491248477,514,2.70136729003314,514,3.26760011521933,73,0.950774489833314,16638,0,28947
"134","Non-classical monocytes","Classical Monocytes","S100A9","CD68",7.82976940890061e-06,9129.4,0.0149574872348507,3242,1.56722265986616,3543,1.16819012311069,6570,0.974049186891161,3345,0,28947
"135","Non-classical monocytes","CD8+ effector memory T cells","HLA-E","CD8B",7.91354789641138e-06,10235.4,0.0101436283866682,6148,1.54124302090565,3741,1.22147719520405,5757,0.968727792030555,6584,0,28947
"136","Conventional dendritic cell 2","Myelocytes","S100A9","CD68",8.02231524833415e-06,10347.2,0.0111178505373948,5321,1.28266324510102,6490,1.26765659692669,5208,0.970024148225863,5770,0,28947
"137","Megakaryocyte progenitors","Pre-pro-B cells","APOE","ABCA1",8.08324920708248e-06,10044.4,0.0442412730222922,473,2.69539738257879,520,2.68157575224124,254,0.944829341103149,20028,0,28947
"138","Conventional dendritic cell 2","Classical Monocytes","S100A9","CD36",8.22482678054789e-06,9576.4,0.0166520397092264,2680,1.45224904730166,4472,1.16490085876664,6635,0.97097333950427,5148,0,28947
"139","Conventional dendritic cell 2","Classical Monocytes","S100A8","CD68",8.4061486625412e-06,10624.6,0.0110355732452358,5395,1.35498493093465,5535,1.16771195233834,6582,0.968604289338221,6664,0,28947
"140","Non-classical monocytes","Plasmacytoid dendritic cells","HLA-DRA","CD4",9.18398592677576e-06,10397,0.0101811262809781,6115,1.44832325076951,4506,1.23037731079797,5634,0.96838748104012,6783,0,28947
