"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"16350","CD8+ central memory T cells","Classical Monocytes","S100A8","CD36",0.0609506729409223,32230,0.00413262100845358,20729,0.92932870964346,13435,-0.204873308657804,75761,0.940991014237919,22278,0,28947
"16351","Plasmacytoid dendritic cell progenitors","Late promyelocytes","APP","APLP2",0.0609847458206211,26693.6,0.00308350128648454,27773,0.648996244585652,23627,0.799513342457401,15102,0.914435719339669,38019,0,28947
"16352","Small pre-B cell","Non-classical monocytes","RPS19","C5AR1",0.0609940650117416,15638.6,0.00982671717891235,6452,1.03858933328302,10790,0.482774918906953,28204,0.973257799180288,3800,0,28947
"16353","Classical Monocytes","CD8+CD103+ tissue resident memory T cells","LGALS3","LAG3",0.0610156829136156,22631.4,0.00956900046138302,6710,0.929170498325199,13440,0.552658022316413,24623,0.912078570294788,39437,0,28947
"16354","Classical Monocytes","Conventional dendritic cell 2","CALM2","INSR",0.0610156829136156,32473.4,0.00199610486715049,39437,0.504684674667433,31358,0.413888140697837,32199,0.927186683598903,30426,0,28947
"16355","CD8+ central memory T cells","NK T cells","LRPAP1","LRP8",0.0610577464292268,30764.6,0.00758282002246306,9449,1.37411390629061,5304,0.954446547177469,10794,0.863586239402834,64827,0.038,63449
"16356","Megakaryocyte progenitors","CD56brightCD16- NK cells","B2M","CD247",0.0610577464292268,15082.4,0.00350659139850915,24612,1.03842711798156,10794,0.980876556475883,10199,0.980715646195188,860,0,28947
"16357","Plasmacytoid dendritic cells","NK T cells","HLA-C","LILRB1",0.0610641962692217,24383.1,0.0045835518894257,18396,0.678631897944064,22289,0.986086716581599,10074,0.963100116569563,9844,0.011,61312.5
"16358","Myelocytes","CD8+ effector memory T cells","GNAI2","S1PR4",0.0610698530368273,29656,0.00199568499121531,39444,0.548808615665995,28735,0.664503856936697,19873,0.925872742661124,31281,0,28947
"16359","CD56dimCD16+ NK cells","CD4+ naive T cells","CD48","CD2",0.0611240616272818,31352.8,0.0019952823585378,39451,0.419907045237797,37155,0.457007520086948,29622,0.94216451295556,21589,0,28947
"16360","Non-classical monocytes","Non-classical monocytes","CD99","PILRA",0.0611520725440145,28576,0.00211678680365701,37751,1.35687609871802,5518,0.568564237255697,23910,0.899118882004759,46754,0,28947
"16361","Eosinophil-basophil-mast cell progenitors","Classical Monocytes","HMGB1","CD163",0.0611571913376187,20089,0.00702135850837507,10512,0.770613731161923,18482,0.655383955640906,20206,0.940958944553402,22298,0,28947
"16362","Plasmacytoid dendritic cells","Megakaryocyte progenitors","TGFB1","ITGB3",0.0611692879919846,19085.2,0.0131423353157065,4048,2.82015714544752,424,0.954268394936232,10801,0.890942675298195,51206,0,28947
"16363","CD8+ central memory T cells","CD8+ effector memory T cells","HLA-DPB1","LAG3",0.0611705567656972,30553.4,0.00379660122976404,22661,0.566928634124404,27741,0.304181551839533,39457,0.921278438277196,33961,0,28947
"16364","CD56brightCD16- NK cells","CD56brightCD16- NK cells","HMGB1","HAVCR2",0.0611938149426985,29547.2,0.00338891442386139,25394,0.61453656310099,25221,0.304126588579854,39460,0.930139442771137,28714,0,28947
"16365","Plasmacytoid dendritic cell progenitors","CD8+ central memory T cells","HLA-B","CD3G",0.0612088989795792,18435.2,0.00401094693026673,21409,0.857194895594191,15448,0.605174339788314,22303,0.972767037842681,4069,0,28947
"16366","Conventional dendritic cell 1","Pro-B cells","ARF6","SMAP1",0.0612248368496664,35380.8,0.00207851534272573,38250,0.468501097710473,33662,0.304092845168143,39464,0.916898284333887,36581,0,28947
"16367","Plasmacytoid dendritic cell progenitors","Classical Monocytes","HLA-C","LILRB2",0.0612403525203545,22344.8,0.00541905720274443,14907,0.738740138757926,19727,0.304045010324432,39466,0.965161640656029,8677,0,28947
"16368","CD56dimCD16+ NK cells","Conventional dendritic cell 1","HLA-A","APLP2",0.061250287584538,26379,0.00129219955369239,53404,0.678331622384959,22307,0.760742429506117,16417,0.961320325370514,10820,0,28947
"16369","CD8+ naive T cells","CD56brightCD16- NK cells","CD99","PILRB",0.0612791554594221,31405.4,0.0023650222184313,34660,0.646302181452126,23747,0.44691930490899,30202,0.91202550106403,39471,0,28947
"16370","Classical Monocytes","Nonswitched memory B cells","PTGS2","ALOX5",0.0612916961878479,28881,0.0209239120061968,1796,0.717168251020127,20611,0.605057853708532,22311,0.849462587409695,70740,0,28947
"16371","Mature naive B cells","Myelocytes","ICAM2","ITGAM_ITGB2",0.0612946821412436,30030.4,0.00249859919256436,33199,0.614737777688155,25207,0.581800292193097,23326,0.912018699308975,39473,0,28947
"16372","CD4+ naive T cells","Classical Monocytes","HMGB1","TLR4",0.0613020514640672,26118,0.00497497518199547,16591,0.742096449661557,19596,0.254573244855529,43144,0.940937462569757,22312,0,28947
"16373","HSCs & MPPs","Non-classical monocytes","CD38","PECAM1",0.0613024466622923,26608.8,0.00351260997117108,24549,0.781717091672933,18068,0.612563509626432,22006,0.91201412771424,39474,0,28947
"16374","CD56brightCD16- NK cells","CD56dimCD16+ NK cells","SPON2","ITGB2",0.0613102119701793,23933,0.00370035616493698,23272,0.755990061032227,19034,1.04251653759354,8937,0.912010579928883,39475,0,28947
"16375","Nonswitched memory B cells","Plasma cells","CD70","TNFRSF17",0.0613141562951182,19319.6,0.0208624738107415,1811,0.654693293161823,23375,1.42626801085929,3458,0.912770516658534,39007,0,28947
"16376","HSCs & MPPs","Pro-B cells","APP","CD74",0.0613227657675824,25770.2,0.00179168093687577,42750,0.678171119689734,22314,0.627530098291637,21399,0.956468452910707,13441,0,28947
"16377","Pre-B cells","Classical Monocytes","HSP90B1","ASGR1",0.0613288519165153,14738.6,0.0167040121101713,2662,1.18644517552539,7992,0.582859594859506,23281,0.961340756444881,10811,0,28947
"16378","Pro-B cells","Megakaryocyte progenitors","CALM2","MYLK",0.0613331247950515,16183.2,0.00687023008899778,10840,1.7509574736376,2479,0.762875242500686,16335,0.940933187324802,22315,0,28947
"16379","Plasmacytoid dendritic cell progenitors","Conventional dendritic cell 1","CALM2","INSR",0.0613412810713073,33141.4,0.00203608401224236,38874,0.427332233888041,36624,0.430196946768076,31220,0.927853253452916,30042,0,28947
"16380","Classical Monocytes","GammaDelta T cells","ADAM15","ITGB1",0.0613538466018454,28294,0.00397271629098192,21645,0.678142988366846,22317,0.679670958006976,19262,0.894562339483681,49299,0,28947
"16381","Immature B cells","CD4+ memory T cells","B2M","CD3D",0.0613745734116914,16730,0.00385565857860731,22319,0.983134038325058,12039,0.659852172565638,20039,0.983590325834914,306,0,28947
"16382","CD8+CD103+ tissue resident memory T cells","Conventional dendritic cell 2","HMGB1","CD163",0.0613801351587576,27926,0.00507455337075823,16212,0.581709242744722,26924,0.303796225698651,39484,0.93126640848731,28063,0,28947
"16383","Early erythroid progenitor","Plasmacytoid dendritic cells","MIF","CD74_CXCR4",0.0613801351587576,19372.6,0.00199317831787334,39484,0.813995092150176,16891,0.946408740317347,10997,0.982178429436606,544,0,28947
"16384","CD56brightCD16- NK cells","Pre-pro-B cells","TGFB1","VASN",0.0613824747242858,21961.2,0.0144288739769334,3460,1.66716861158839,2933,0.680737425282283,19224,0.883348475579674,55242,0,28947
"16385","Classical Monocytes","CD56dimCD16+ NK cells","BAG6","NCR3",0.0613849386929753,29176.6,0.00594899584904446,13185,0.741072413305814,19638,0.604928993386584,22320,0.870226764813782,61793,0,28947
"16386","Conventional dendritic cell 1","Non-classical monocytes","LGALS9","PTPRC",0.0613849386929753,24825.8,0.0019495510378242,40151,0.775144212045205,18310,0.822485955253612,14401,0.940928103185241,22320,0,28947
"16387","CD4+ memory T cells","Non-classical monocytes","CD55","ADGRE5",0.0613879083383179,33226.2,0.0019930985693101,39485,0.554742501176411,28403,0.411159066192076,32378,0.916268219471691,36918,0,28947
"16388","Pre-B cells","Classical Monocytes","PKM","CD44",0.0613927496001205,16078.4,0.00350989350494519,24574,1.03744983906556,10815,1.12341966467762,7354,0.965130482912282,8702,0,28947
"16389","Classical Monocytes","CD56dimCD16+ NK cells","ICAM2","ITGAL_ITGB2",0.0614112326022163,31119.2,0.00215250949708759,37238,0.54397267703356,29032,0.639325380868304,20891,0.911986057609963,39488,0,28947
"16390","Conventional dendritic cell 1","Myelocytes","MIF","CD44_CD74",0.0614160420433104,23894.6,0.00159575552061229,46359,0.678004594965286,22323,0.650623032338647,20402,0.978775313125251,1442,0,28947
"16391","Pre-B cells","NK T cells","MFGE8","ITGAV",0.0614166470757797,23544.2,0.0228385311006374,1541,1.58263301423522,3461,0.923640092774557,11542,0.845328798840026,72230,0,28947
"16392","CD69+PD-1+ memory CD4+ T cells","Non-classical monocytes","HLA-C","LILRA1",0.0614406999136902,23316.7,0.0110986025205712,5337,1.08308949240652,9843,0.522117704596205,26192,0.96132295016508,10818,0.0610000000000001,64393.5
"16393","Pre-pro-B cells","GammaDelta T cells","HLA-E","KLRC2_KLRD1",0.061447156655189,17836.4,0.0038542427780235,22326,0.88904187637933,14550,0.82195054064877,14414,0.964735149877158,8945,0,28947
"16394","Non-classical monocytes","Early promyelocytes","HLA-B","CANX",0.0614508281843849,31394.2,0.00155876285007474,47153,0.426843825338176,36670,0.286753081934121,40739,0.973834367160577,3462,0,28947
"16395","CD56dimCD16+ NK cells","Pro-B cells","SPON2","ITGB1",0.0614575306954514,22037.6,0.00385407669199955,22327,1.26305334022862,6764,1.03403950646343,9081,0.905719022178884,43069,0,28947
"16396","Lymphomyeloid prog","CD8+ naive T cells","B2M","CD3G",0.0614656834560936,24850,0.00316967876510638,27104,0.598762842478817,26009,0.303635190161841,39495,0.975401442304281,2695,0,28947
"16397","NK T cells","CD8+ effector memory T cells","HLA-C","CD3G",0.0614782825309498,25444.1,0.00385371216898706,22329,0.78973763751233,17761,0.813080977843686,14694,0.970146343327826,5697,0.16,66739.5
"16398","Classical Monocytes","Pro-B cells","TOR2A","ATP5F1B",0.0614812479348713,32257.4,0.00247665163195275,33417,0.566976472587879,27735,0.422550129655411,31691,0.911965542410274,39497,0,28947
"16399","Non-classical monocytes","CD8+ effector memory T cells","CD14","ITGB1",0.061489031356552,27254.2,0.00363413232498574,23713,0.587524416094751,26615,0.72775641206636,17498,0.911961072248837,39498,0,28947
"16400","Plasmacytoid dendritic cell progenitors","CD4+ naive T cells","B2M","CD3D",0.061489031356552,25204.8,0.00219118432633671,36739,0.527710005221588,29970,0.47240374750366,28767,0.978348444795275,1601,0,28947
"16401","Plasmacytoid dendritic cell progenitors","CD4+ naive T cells","B2M","CD3G",0.0614968155665072,27293.8,0.00242319881380003,33979,0.471641888822441,33470,0.362550200632774,35521,0.971965663974541,4552,0,28947
"16402","CD69+PD-1+ memory CD4+ T cells","CD8+ effector memory T cells","B2M","CD3D",0.0614990393736573,14995,0.00385325297085131,22331,0.908077882690452,14021,1.01886958156706,9367,0.983585288376053,309,0,28947
"16403","Late erythroid progenitor","GammaDelta T cells","TGM2","ADGRG1",0.0615192166704432,32048.4,0.0278883198014286,1091,0.910170547486108,13963,0.467682930549881,29014,0.789002076727732,87227,0,28947
"16404","NK cell progenitors","NK T cells","B2M","KLRD1",0.0615192166704432,28461.5,0.00189524919980213,41009,0.479550265546297,32954,1.42568247070016,3464,0.975851626943817,2485,0.021,62395.5
"16405","Classical Monocytes","Class switched memory B cells","LY86","CD180",0.0615198012242669,26832.8,0.0100089925131997,6273,0.677829395272878,22333,0.678914143699994,19298,0.879457046740173,57313,0,28947
"16406","Plasma cells","Conventional dendritic cell 2","PSAP","LRP1",0.0615201729266179,31519.8,0.00348190640132259,24756,0.386291393040026,39502,0.440687348962951,30590,0.921549365979183,33804,0,28947
"16407","CD8+ naive T cells","Classical Monocytes","SEMA4D","PLXNB2",0.0615405680834714,29168.8,0.0070225371520134,10508,0.797427070114382,17485,0.604605955249352,22335,0.859708155938773,66569,0,28947
