AEBP2
ARID3A
ARID3B
ARNT
ARNTL
ATF1
ATF2
ATF4
ATF6
ATF6B
BACH1
BBX
BCL11B
BCL6
BCLAF1
BHLHE40
BPTF
CARF
CEBPB
CEBPD
CEBPG
CERS2
CERS4
CHD1
CHURC1
CLOCK
CREB1
CREBL2
CREM
CTCF
CUX1
DBP
DDIT3
DEAF1
E2F3
E4F1
ELF1
ELF2
ELF4
ELK1
ELK3
ELK4
EOMES
EP300
ERF
ESRRA
ETS1
ETV3
ETV6
FLI1
FOS
FOSB
FOSL2
FOXJ3
FOXK1
FOXN2
FOXO1
FOXO3
GABPA
GABPB1
GATA3
GATAD1
GFI1
GMEB1
GMEB2
GTF2B
HIC1
HLTF
HMBOX1
HMG20B
HMGA1
HOXA10
HOXB2
HSF1
HTATIP2
IKZF1
IKZF2
IKZF3
ILF2
ING4
IRF1
IRF2
IRF4
IRF7
IRF8
IRF9
JUN
JUNB
KLF12
KLF13
KLF2
KLF6
KLF7
KMT2B
MAF
MAFF
MAX
MAZ
MBD2
MBNL2
MECP2
MEF2D
MNT
MXI1
MYBL1
MZF1
NFAT5
NFATC2
NFATC3
NFE2L1
NFE2L2
NFIA
NFIC
NFIL3
NFKB1
NFKB2
NR2C2
NR3C1
NRF1
PBX3
PBX4
PHF20
PKNOX1
POU2F1
POU2F2
PURA
RARA
REL
RELA
RELB
RFX3
RFX5
RFX7
RFXAP
RORA
RUNX1
RUNX3
RXRA
RXRB
SETDB1
SMAD3
SMAD4
SP1
SP2
SP3
SP4
SREBF2
SRF
STAT1
STAT2
STAT3
STAT6
TAF1
TAF6
TBP
TBX21
TCF12
TCF3
TCF7
TFDP1
TFE3
TFEB
TGIF1
THAP1
THAP11
THRA
TP53
USF1
USF2
VEZF1
XBP1
YBX1
YY1
ZBTB11
ZBTB14
ZBTB20
ZBTB25
ZBTB33
ZBTB37
ZBTB4
ZBTB40
ZBTB43
ZBTB7A
ZBTB7B
ZEB1
ZFP14
ZFP82
ZFP90
ZFX
ZNF143
ZNF148
ZNF16
ZNF217
ZNF224
ZNF25
ZNF250
ZNF254
ZNF263
ZNF267
ZNF286A
ZNF333
ZNF33A
ZNF350
ZNF384
ZNF518A
ZNF548
ZNF559
ZNF564
ZNF580
ZNF581
ZNF586
ZNF611
ZNF641
ZNF652
ZNF655
ZNF677
ZNF737
ZNF75A
ZNF791
ZNF836
ZNF84
ZNF891
ZNF92
